,phraseNumber,speaker,emotion,transcript
1196,34,KD0,fear,Pan Janek jest naszym nowym sąsiadem.
1197,35,KD0,fear,Aby upiec ciasto muszę kupić mączkę.
1198,36,KD0,fear,Ten pomysł rodzi brakiem realizmu.
1199,37,KD0,fear,Relaksujące piosenki poprawiają nastrój.
1200,38,KD0,fear,Rut Smoka to serial telewizyjny.
1201,39,KD0,fear,Siwa oznacza żałobę po zmarłym.
1202,4,KD0,fear,Dzieci muszą dużo jeść.
1203,40,KD0,fear,W dzieciństwie uwielbiałem klechty.
1204,41,KD0,fear,W parku rośnie ogromne drzewo.
1205,42,KD0,fear,"Przyjaciel to ktoś, kto zawsze jest po mojej stronie."
1206,43,KD0,fear,Niania odegrała w moim życiu ważną rolę.
1207,44,KD0,fear,"Tęsknota to uczucie, które każdy z nas zna."
1208,45,KD0,fear,Postanowiłem wynająć samochód na wakacje.
1209,46,KD0,fear,Żółwica to dawne określenie na siostrę męża.
1210,47,KD0,fear,Król był bardzo sprawiedliwym człowiekiem.
1211,48,KD0,fear,Moja dziewczyna świętuje urodziny w sobotę.
1212,49,KD0,fear,"Niektórzy powiedzą, że to państwo z kartonu."
1213,5,KD0,fear,Przestań go jeudić!
1214,50,KD0,fear,W muzeum można zobaczyć szkielet dinozaura.
1215,51,KD0,fear,Strzelec to znak Zodiaku następujący po skorpionie.
1216,52,KD0,fear,Na złamaną kończynę często zakłada się Egipt.
1217,53,KD0,fear,"Kittel to strój, który noszą lekarze."
1218,54,KD0,fear,W grudniu często poda śnieg.
1219,55,KD0,fear,Chodzę do szkoły prawie codziennie.
1220,56,KD0,fear,Moje dziecko umie już mówić kilka słów.
1221,57,KD0,fear,"Jedz inaczej, aby polepszyć swoje zdrowie."
1222,58,KD0,fear,Otrzymałem piękną pocztówkę z widokiem na góry.
1223,59,KD0,fear,Kupiłem nowy słownik języka hiszpańskiego.
1224,6,KD0,fear,"- Dziunia, nie jesteś moim szefem."
1225,60,KD0,fear,Podczas wakacji udało mi się zobaczyć delfiny.
1226,61,KD0,fear,Zupa pomidorowa - to moje ulubione danie.
1227,62,KD0,fear,Twoje słowo ma dla mnie wielkie znaczenie.
1228,63,KD0,fear,Moja wizja na przyszłość jest jasna i wyraźna.
1229,64,KD0,fear,Ucho wykrywa dźwięki o różnej częstotliwości.
1230,65,KD0,fear,Podczas remontu odkryliśmy staro-dawny mur.
1231,66,KD0,fear,Rętyn jest jednym z pierwiastków chemicznych.
1232,67,KD0,fear,Miłość jest jednym z najpiękniejszych uczuć.
1233,68,KD0,fear,Zamek w Malborku jest jednym z najpiękniejszych w Polsce.
1234,69,KD0,fear,Przez most na rzece można szybko dotrzeć do miasta.
1235,7,KD0,fear,Życie jest pełne niespodzianek.
1236,70,KD0,fear,Człowiek zaczyna umierać już w momencie narodzin.
1237,71,KD0,fear,Baza wojskowa jest strategicznym punktem dla armii.
1238,72,KD0,fear,Bastion był kiedyś ważnym elementem obrony miasta.
1239,73,KD0,fear,Zawsze stawiam przed rzeczownikami właściwy rodzajnik.
1240,74,KD0,fear,Ta liczba wydaje się być błędna. Sprawdź jeszcze raz.
1241,75,KD0,fear,Moja teściowa czasem przyjeżdża do nas w weekend.
1242,76,KD0,fear,Woda jest podstawowym składnikiem życia na Ziemi.
1243,77,KD0,fear,Marzec kojarzy się z wieczornymi promieniami słońca.
1244,78,KD0,fear,Moim ulubionym sosem do pizzy jest sos szaszlunkowy.
1245,79,KD0,fear,Mleko jest źródłem wapnia i innych składników odżywczych.
1246,8,KD0,fear,Moja ciocia jest bardzo pomocna.
1247,80,KD0,fear,Do dzisiejszego obiadu potrzebuje małego garnczka.
1248,81,KD0,fear,W lipcu wyjeżdżam z rodziną na wakacje nad morze.
1249,82,KD0,fear,Czerwiec kojarzy się z zakończeniem roku szkolnego.
1250,83,KD0,fear,Ten zrzebak jest wychowany zgodnie z najlepszymi standardami.
1251,84,KD0,fear,Kontrświadczenie za udzieloną pożyczkę było bardzo wysokie.
1252,85,KD0,fear,"W bankach można założyć konto osobiste, oszczędnościowe lub kredytowe."
1253,86,KD0,fear,Myślmy pozytywnie i skupmy się na dobrych rzeczach w naszym życiu.
1254,87,KD0,fear,Na targach rzemieślniczych można zobaczyć wiele unikatowych produktów.
1255,88,KD0,fear,Jabłko jest bogatym źródłem witamin i składników odżywczych.
1256,89,KD0,fear,Dopełniacie jednym z przypadków gramatycznych w języku polskim.
1257,9,KD0,fear,Piłka nożna to moja pasja.
1258,90,KD0,fear,Horał gregoriański jest wykonywany podczas uroczystych nabożeństw.
1259,1,KD0,happiness,Lubię czytać przed snem.
1260,10,KD0,happiness,Kupiłem nową szafę do sypialni.
1261,11,KD0,happiness,Nie zachowuj się jak gigolak.
1262,12,KD0,happiness,Mój test zawsze służy radą.
1263,13,KD0,happiness,Interesuje mnie historia Polski.
1264,14,KD0,happiness,Ten miesiąc minął bardzo szybko.
1265,15,KD0,happiness,Sporadycznie chodzę na siłownie.
1266,16,KD0,happiness,"Racja, ten pomysł jest najlepszy."
1267,17,KD0,happiness,Chcę przeczytać ten artykuł jeszcze raz.
1268,18,KD0,happiness,Kwiecień to czwarty miesiąc w roku.
1269,19,KD0,happiness,W wolnym czasie lubię czytać książki.
1270,2,KD0,happiness,Nie waśnijmy się ze sobą.
1271,20,KD0,happiness,Zima to czas jeżdżenia na sankach.
1272,21,KD0,happiness,Egipcjanie uważali Ibisy za święte.
1273,22,KD0,happiness,"Piesek wszedł do rzeki, żeby popływać."
1274,23,KD0,happiness,Woda w basenie jest bardzo ciepła.
1275,24,KD0,happiness,Miasto tętni życiem nawet w nocy.
1276,25,KD0,happiness,Gorzka czekolada jest idealna na deser.
1277,26,KD0,happiness,Ten dżin potrafi spełniać życzenia.
1278,27,KD0,happiness,W niedzielę szkoła jest zamknięta.
1279,28,KD0,happiness,Podczas medytacji można wejść w trance.
1280,29,KD0,happiness,W październiku zaczyna się jesień.
1281,3,KD0,happiness,Chodźmy w tango!
1282,30,KD0,happiness,Każdy taniec ma własny rytm.
1283,31,KD0,happiness,Dokarmcie koty wychodząc z domu.
1284,32,KD0,happiness,"Pamiętaj, że nadzieja umiera ostatnia."
1285,33,KD0,happiness,Po operacji nie mam żadnych blizn.
1286,34,KD0,happiness,Pan Janek jest naszym nowym sąsiadem.
1287,35,KD0,happiness,"Aby upiec ciasto, muszę kupić małżkę."
1288,36,KD0,happiness,Ten pomysł trąci brakiem realizmu.
1289,37,KD0,happiness,Relaksujące piosenki poprawiają nastrój.
1290,38,KD0,happiness,Rut Smoka to serial telewizyjny.
1291,39,KD0,happiness,Siwa oznacza żałobę po zmarłym.
1292,4,KD0,happiness,Dzieci muszą dużo jeść.
1293,40,KD0,happiness,W dzieciństwie uwielbiałem klechty.
1294,41,KD0,happiness,W parku rośnie ogromne drzewo.
1295,42,KD0,happiness,"Przyjaciel to ktoś, kto zawsze jest po mojej stronie."
1296,43,KD0,happiness,Niania odegrała w moim życiu ważną rolę.
1297,44,KD0,happiness,"Ten sknota to uczucie, które każdy z nas zna."
1298,45,KD0,happiness,Postanowiłem wynająć samochód na wakacje.
1299,46,KD0,happiness,Żółwica to dawne określenie na siostrę męża.
1300,47,KD0,happiness,Król był bardzo sprawiedliwym człowiekiem.
1301,48,KD0,happiness,Moja dziewczyna świętuje urodziny w sobotę.
1302,49,KD0,happiness,"Niektórzy powiedzą, że to państwo z kartonu."
1303,5,KD0,happiness,Przestań go jeudić.
1304,50,KD0,happiness,W muzeum można zobaczyć szkielet dinozaura.
1305,51,KD0,happiness,Strzelec to znak Zodiaku następujący po skorpionie.
1306,52,KD0,happiness,Na złamaną kończynę często zakłada się Egipt.
1307,53,KD0,happiness,"Kittel to strój, który noszą lekarze."
1308,54,KD0,happiness,W grudniu często pada śnieg.
1309,55,KD0,happiness,Chodzę do szkoły prawie codziennie.
1310,56,KD0,happiness,Moje dziecko umie już mówić kilka słów.
1311,57,KD0,happiness,"Jedz inaczej, aby polepszyć swoje zdrowie."
1312,58,KD0,happiness,Otrzymałem piękną pocztówkę z widokiem na górę.
1313,59,KD0,happiness,Kupiłem nowy słownik języka hiszpańskiego.
1314,6,KD0,happiness,"Dziunia, nie jesteś moim szefem."
1315,60,KD0,happiness,Podczas wakacji udało mi się zobaczyć delfiny.
1316,61,KD0,happiness,Zupa pomidorowa to moje ulubione danie.
1317,62,KD0,happiness,Twoje słowo ma dla mnie wielkie znaczenie.
1318,63,KD0,happiness,Moja wizja na przyszłość jest jasna i wyraźna.
1319,64,KD0,happiness,Ucho wykrywać dźwięki o różnej częstotliwości
1320,65,KD0,happiness,Podczas remontu odkryliśmy staro-dawny mur.
1321,66,KD0,happiness,Rętyn jest jednym z pierwiastków chemicznych.
1322,67,KD0,happiness,Miłość jest jednym z najpiękniejszych uczuć.
1323,68,KD0,happiness,Zamek w Malborku jest jednym z najpiękniejszych w Polsce.
1324,69,KD0,happiness,Przez most na rzece można szybko dotrzeć do miasta.
1325,7,KD0,happiness,Życie jest pełne niespodzianek.
1326,70,KD0,happiness,Człowiek zaczyna umierać już w momencie narodzin.
1327,71,KD0,happiness,Baza wojskowa jest strategicznym punktem dla armii
1328,72,KD0,happiness,Bastion był kiedyś ważnym elementem obrony miasta.
1329,73,KD0,happiness,Zawsze stawiam przed rzeczownikami właściwy rodajnik.
1330,74,KD0,happiness,Ta liczba wydaje się być błędna. Sprawdź jeszcze raz.
1331,75,KD0,happiness,Moja teściowa czasem przyjeżdża do nas w weekend.
1332,76,KD0,happiness,Woda jest podstawowym składnikiem życia na Ziemi.
1333,77,KD0,happiness,Marzec skojarzy się z wiosennnymi promieniami słońca.
1334,78,KD0,happiness,Moim ulubionym sosem do pizzy jest sos czosnkowy.
1335,79,KD0,happiness,Mleko jest źródłem wapnia i innych składników odżywczych.
1336,8,KD0,happiness,Moja ciocia jest bardzo pomocna.
1337,80,KD0,happiness,Do dzisiejszego obiadu potrzebuję małego garnczka.
1338,81,KD0,happiness,W lipcu wyjeżdżam z rodziną na wakacje nad morze.
1339,82,KD0,happiness,Czerwiec kojarzy się z zakończeniem roku szkolnego.
1340,83,KD0,happiness,Ten zrebak jest wychowany zgodnie z najlepszymi standardami
1341,84,KD0,happiness,Kontrświadczenie za udzieloną pożyczkę było bardzo wysokie.
1342,85,KD0,happiness,"W bankach można założyć konto osobiste, oszczędnościowe lub kredytowe."
1343,86,KD0,happiness,Myślmy pozytywnie i skupmy się na dobrych rzeczach w naszym życiu.
1344,87,KD0,happiness,Na targach rzemieślniczych można zobaczyć wiele unikatowych produktów
1345,88,KD0,happiness,Jabłko jest bogatym źródłem witamin i składników odżywczych.
1346,89,KD0,happiness,Dopełniacie jest jednym z przypadków gramatycznych w języku polskim
1347,9,KD0,happiness,Piłka nożna to moja pasja.
1348,90,KD0,happiness,Chorał gregoriański jest wykonywany podczas uroczystych nabożeństw.
1349,1,KD0,neutral,Lubię czytać przed snem.
1350,10,KD0,neutral,Kupiłem nową szafę do sypialni.
1351,11,KD0,neutral,Nie zachowuj się jak żigolak.
1352,12,KD0,neutral,Mój test zawsze służy radom.
1353,13,KD0,neutral,Interesuje mnie historia Polski
1354,14,KD0,neutral,Ten miesiąc minął bardzo szybko.
1355,15,KD0,neutral,sporadycznie chodzę na siłownie.
1356,16,KD0,neutral,"Racja, ten pomysł jest na lepszy."
1357,17,KD0,neutral,Chcę przeczytać ten artykuł jeszcze raz.
1358,18,KD0,neutral,Kwiecień to czwarty miesiąc w roku.
1359,19,KD0,neutral,W wolnym czasie lubię czytać książki.
1360,2,KD0,neutral,Nie waślimy się ze sobą.
1361,20,KD0,neutral,Zima to czas jeżdżenia na sankach.
1362,21,KD0,neutral,Egipcjanie uważali Ibisy za święte.
1363,22,KD0,neutral,"Piesek wszedł do rzeki, żeby popływać."
1364,23,KD0,neutral,Woda w basenie jest bardzo ciepła.
1365,24,KD0,neutral,Miasto tętni życiem nawet w nocy.
1366,25,KD0,neutral,Gorzka czekolada jest idealna na deser.
1367,26,KD0,neutral,Ten gen potrafi spełniać życzenia.
1368,27,KD0,neutral,W niedzielę szkoła jest zamknięta.
1369,28,KD0,neutral,Podczas medytacji można wejść w trans.
1370,29,KD0,neutral,W październiku zaczyna się jesień.
1371,3,KD0,neutral,- Chodźmy w tango.
1372,30,KD0,neutral,Każdy taniec ma swój własny rytm.
1373,31,KD0,neutral,Dokarmcie koty wychodząc z domu.
1374,32,KD0,neutral,"Pamiętaj, że nadzieja umiera ostatnia."
1375,33,KD0,neutral,Po operacji nie mam żadnych blizn.
1376,34,KD0,neutral,Pan Janek jest naszym nowym sąsiadem.
1377,35,KD0,neutral,"Aby ubiegć ciasto, muszę kupić mączkę."
1378,36,KD0,neutral,Ten pomysł trąci brakiem realizmu.
1379,37,KD0,neutral,Relaksujące piosenki poprawiają nastrój.
1380,38,KD0,neutral,Rut Smoka - to serial telewizyjny.
1381,39,KD0,neutral,Siwa oznacza żałobę po zmarłym.
1382,4,KD0,neutral,Dzieci muszą dużo jeść.
1383,40,KD0,neutral,W dzieciństwie uwielbiałem klechty.
1384,41,KD0,neutral,W parku rośnie ogromne drzewo.
1385,42,KD0,neutral,"Przyjaciel to ktoś, kto zawsze jest po mojej stronie."
1386,43,KD0,neutral,Niania odegrała w moim życiu ważną rolę.
1387,44,KD0,neutral,"Tęsknota to uczucie, które każdy z nas zna."
1388,45,KD0,neutral,Postanowiłem wynająć samochód na wakacje.
1389,46,KD0,neutral,Żołwica to dawne określenie na siostrę męża.
1390,47,KD0,neutral,Król był bardzo sprawiedliwym człowiekiem.
1391,48,KD0,neutral,Moja dziewczyna świętuje urodziny w sobotę.
1392,49,KD0,neutral,"Niektórzy powiedzą, że to państwo z kartonu."
1393,5,KD0,neutral,Przestań go jeudić.
1394,50,KD0,neutral,W muzeum można zobaczyć szkielet dinozaura.
1395,51,KD0,neutral,Strzelec to znak Zodiaku następujący po skorpionie.
1396,52,KD0,neutral,Na złamaną kończynę często zakłada się gips.
1397,53,KD0,neutral,"Kittel to strój, który noszą lekarze."
1398,54,KD0,neutral,W grudniu często pada śnieg.
1399,55,KD0,neutral,Chodzę do szkoły prawie codziennie.
1400,56,KD0,neutral,Moje dziecko umie już mówić kilka słów.
1401,57,KD0,neutral,"Jedz inaczej, aby polepszyć swoje zdrowie."
1402,58,KD0,neutral,Otrzymałem piękną pocztówkę z widokiem na góry.
1403,59,KD0,neutral,Kupiłem nowy słownik języka hiszpańskiego.
1404,6,KD0,neutral,"Dziunia, nie jesteś moim szefem."
1405,60,KD0,neutral,Podczas wakacji udało mi się zobaczyć delfiny.
1406,61,KD0,neutral,Zupa pomidorowa to moje ulubione danie.
1407,62,KD0,neutral,Twoje słowo ma dla mnie wielkie znaczenie.
1408,63,KD0,neutral,Moja wizja na przyszłość jest jasna i wyraźna.
1409,64,KD0,neutral,Ucho wykrywa dźwięki o różnej częstotliwości.
1410,65,KD0,neutral,Podczas remontu odkryliśmy staro-dawny mur.
1411,66,KD0,neutral,Rtęc jest jednym z pierwiastków chemicznych.
1412,67,KD0,neutral,Miłość jest jednym z najpiękniejszych uczuć.
1413,68,KD0,neutral,Zamek w Malborku jest jednym z najpiękniejszych w Polsce.
1414,69,KD0,neutral,Przez most na rzece można szybko dotrzeć do miasta.
1415,7,KD0,neutral,Życie jest pełne niespodzianek.
1416,70,KD0,neutral,Człowiek zaczyna umierać już w momencie narodzin.
1417,71,KD0,neutral,Baza wojskowa jest strategicznym punktem dla armii.
1418,72,KD0,neutral,Bastion był kiedyś ważnym elementem obrony miasta.
1419,73,KD0,neutral,Zawsze stawiam przed rzeczownikami właściwy rodzajnik.
1420,74,KD0,neutral,Ta liczba wydaje się być błędna. Sprawdź jeszcze raz.
1421,75,KD0,neutral,Moja teściowa czasem przyjeżdża do nas w weekend.
1422,76,KD0,neutral,Woda jest podstawowym składnikiem życia na Ziemi.
1423,77,KD0,neutral,Marzec skojarzy się z wiosennymi promieniami słońca.
1424,78,KD0,neutral,Moim ulubionym sosem do pytcy jest sos czosnkowy.
1425,79,KD0,neutral,Mleko jest źródłem wapnia i innych składników odżywczych.
1426,8,KD0,neutral,Moja ciocia jest bardzo pomocna.
1427,80,KD0,neutral,Do dzisiejszego obiadu potrzebuje małego garnczka.
1428,81,KD0,neutral,W lipcu wyjeżdżam z rodziną na wakacje nad morze.
1429,82,KD0,neutral,Czerwiec kojarzy się z zakończeniem roku szkolnego
1430,83,KD0,neutral,Ten zrzebak jest wychowany zgodnie z najlepszymi standardami.
1431,84,KD0,neutral,Kontrświadczenie za udzieloną pożyczkę było bardzo wysokie.
1432,85,KD0,neutral,"W bankach można założyć konto osobiste, oszczędnościowe lub kredytowe."
1433,86,KD0,neutral,Myślmy pozytywnie i skupmy się na dobrych rzeczach w naszym życiu.
1434,87,KD0,neutral,Na targach rzemieślniczych można zobaczyć wiele unikatowych produktów.
1435,88,KD0,neutral,Jabłko jest bogatym źródłem witamin i składników odżywczych.
1436,89,KD0,neutral,Dopełniać jest jednym z przypadków gramatycznych w języku polskim
1437,9,KD0,neutral,Piłka nożna to moja pasja.
1438,90,KD0,neutral,Chorał gregoriański jest wykonywany podczas uroczystych nabożeństw.
1439,1,KD0,sadness,Lubię czytać przed snem.
1440,10,KD0,sadness,Kupiłem nową szafę do sypialni.
1441,11,KD0,sadness,Nie zachowuj się jak żigolak.
1442,12,KD0,sadness,Mój test zawsze służy radom.
1443,13,KD0,sadness,Interesuje mnie historia Polski.
1444,14,KD0,sadness,Ten miesiąc minął bardzo szybko.
1445,15,KD0,sadness,sporadycznie chodzę na siłownie.
1446,16,KD0,sadness,- Racja - ten pomysł jest najlepszy.
1447,17,KD0,sadness,Chcę przeczytać ten artykuł jeszcze raz.
1448,18,KD0,sadness,Kwiecień to czwarty miesiąc w roku.
1449,19,KD0,sadness,W wolnym czasie lubię czytać książki.
1450,2,KD0,sadness,Nie wasimy się ze sobą.
1451,20,KD0,sadness,Zima to czas jeżdżenia na sankach.
1452,21,KD0,sadness,Egipcjanie uważali ibisy za święte.
1453,22,KD0,sadness,"Piesek wszedł do rzeki, żeby popływać."
1454,23,KD0,sadness,Woda w basenie jest bardzo ciepła.
1455,24,KD0,sadness,Miasto tętni życiem nawet w nocy.
1456,25,KD0,sadness,Gorzka czekolada jest idealna na deser.
1457,26,KD0,sadness,Ten dżin potrafi spełniać życzenia.
1458,27,KD0,sadness,W niedzielę szkoła jest zamknięta.
1459,28,KD0,sadness,Podczas medytacji można wejść w trance.
1460,29,KD0,sadness,W październiku zaczyna się jesień.
1461,3,KD0,sadness,- Chodźmy w tango.
1462,30,KD0,sadness,Każdy taniec ma własny rytm.
1463,31,KD0,sadness,Dokarmcie koty wychodząc z domu.
1464,32,KD0,sadness,"Pamiętaj, że nadzieja umiera ostatnia."
1465,33,KD0,sadness,Po operacji nie mam żadnych blizn.
1466,34,KD0,sadness,Pan Janek jest naszym nowym sąsiadem.
1467,35,KD0,sadness,Aby upiec ciasto muszę kupić mączkę.
1468,36,KD0,sadness,Ten pomysł trąci brakiem realizmu.
1469,37,KD0,sadness,Relaksujące piosenki poprawiają nastrój.
1470,38,KD0,sadness,Rut Smoka - to serial telewizyjny.
1471,39,KD0,sadness,Siwa oznacza żałobę po zmarłym.
1472,4,KD0,sadness,Dzieci muszą dużo jeść.
1473,40,KD0,sadness,W dzieciństwie uwielbiałem klechty.
1474,41,KD0,sadness,W parku rośnie ogromne drzewo.
1475,42,KD0,sadness,"Przyjaciel to ktoś, kto zawsze jest po mojej stronie."
1476,43,KD0,sadness,Niania odegrała w moim życiu ważną rolę.
1477,44,KD0,sadness,"Tęsknota to uczucie, które każdy z nas zna."
1478,45,KD0,sadness,Postanowiłem wynająć samochód na wakacje.
1479,46,KD0,sadness,Żółwica to dawne określenie na siostrę męża.
1480,47,KD0,sadness,Król był bardzo sprawiedliwym człowiekiem.
1481,48,KD0,sadness,Moja dziewczyna świętuje urodziny w sobotę.
1482,49,KD0,sadness,"Niektórzy powiedzą, że to państwo z kartonu."
1483,5,KD0,sadness,Przestań go ludzić.
1484,50,KD0,sadness,W muzeum można zobaczyć szkielet dinozaura.
1485,51,KD0,sadness,Strzelec to znak Zodiaku następujący po skorpionie.
1486,52,KD0,sadness,Na złamaną kończynę często zakłada się Egipt.
1487,53,KD0,sadness,"Hitel to strój, który noszą lekarze."
1488,54,KD0,sadness,W grudniu często pada śnieg.
1489,55,KD0,sadness,Chodzę do szkoły prawie codziennie.
1490,56,KD0,sadness,Moje dziecko umie już mówić kilka słów.
1491,57,KD0,sadness,"Jedz inaczej, aby polepszyć swoje zdrowie."
1492,58,KD0,sadness,Otrzymałem piękną pocztówkę z widokiem na góry.
1493,59,KD0,sadness,Kupiłem nowy słownik języka hiszpańskiego
1494,6,KD0,sadness,"Dziunia, nie jesteś mój szefem."
1495,60,KD0,sadness,Podczas wakacji udało mi się zobaczyć delfiny.
1496,61,KD0,sadness,Zupa pomidorowa to moje ulubione danie.
1497,62,KD0,sadness,Twoje słowo ma dla mnie wielkie znaczenie.
1498,63,KD0,sadness,Moja wizja na przyszłość jest jasna i wyraźna.
1499,64,KD0,sadness,Ucho wykrywa dźwięki o różnej częstotliwości.
1500,65,KD0,sadness,Podczas renowacji odkryliśmy staro-dawny mur.
1501,66,KD0,sadness,Rtęc jest jednym z pierwiastków chemicznych.
1502,67,KD0,sadness,Miłość jest jednym z najpiękniejszych uczuć.
1503,68,KD0,sadness,Zamek w Malborku jest jednym z najpiękniejszych w Polsce.
1504,69,KD0,sadness,Przez most na rzece można szybko dotrzeć do miasta.
1505,7,KD0,sadness,Życie jest pełne niespodzianek.
1506,70,KD0,sadness,Człowiek zaczyna umierać już w momencie narodzin.
1507,71,KD0,sadness,Bazy wojskowa jest strategicznym punktem dla armii
1508,72,KD0,sadness,Bastion był kiedyś ważnym elementem obrony miasta.
1509,73,KD0,sadness,Zawsze stawiam przed rzeczownikami właściwy rodzajnik.
1510,74,KD0,sadness,Ta liczba wydaje się być błędna. Sprawdź jeszcze raz.
1511,75,KD0,sadness,Moja teściowa czasem przyjeżdża do nas w weekend.
1512,76,KD0,sadness,Woda jest podstawowym składnikiem życia na Ziemi.
1513,77,KD0,sadness,Marzec skojarzy się z wiosennymi promieniami słońca.
1514,78,KD0,sadness,Moim ulubionym sosem do pizzy jest sos czosnkowy.
1515,79,KD0,sadness,Mleko jest źródłem wapnia i innych składników odżywczych.
1516,8,KD0,sadness,Mia ciocia jest bardzo pomocna.
1517,80,KD0,sadness,Do dzisiejszego obiadu potrzebuję małego garnczka.
1518,81,KD0,sadness,W lipcu wyjeżdżam z rodziną na wakacje nad morze.
1519,82,KD0,sadness,Czerwiec kojarzy się z zakończeniem roku szkolnego
1520,83,KD0,sadness,Ten zierabak jest wychowany zgodnie z najlepszymi standardami
1521,84,KD0,sadness,Kontrświadczenie za udzieloną pożyczkę było bardzo wysokie.
1522,85,KD0,sadness,"W bankach można założyć konto osobiste, oszczędnościowe lub kredytowe."
1523,86,KD0,sadness,Myślmy pozytywnie i skupmy się na dobrych rzeczach w naszym życiu.
1524,87,KD0,sadness,Na targach rzemieślniczych można zobaczyć wiele unikatowych produktów.
1525,88,KD0,sadness,Jabłko jest bogatym źródłem witamin i składników odżywczych.
1526,89,KD0,sadness,Dopełniacz jest jednym z przypadków gramatycznych w języku polskim.
1527,9,KD0,sadness,Piłka nożna to moja pasja.
1528,90,KD0,sadness,Horał gregoriański jest wykonywany podczas uroczystych nabożeń.
1529,1,KD0,surprised,Lubię czytać przed snem.
1530,10,KD0,surprised,Kupiłem nową szafę do sypialni.
1531,11,KD0,surprised,Nie zachowuj się jak żigolak!
1532,12,KD0,surprised,Mój test zawsze służy radą.
1533,13,KD0,surprised,Interesuje mnie historia Polski.
1534,14,KD0,surprised,Ten miesiąc minął bardzo szybko.
1535,15,KD0,surprised,sporadycznie chodzę na siłownie.
1536,16,KD0,surprised,- Racja - ten pomysł jest najlepszy.
1537,17,KD0,surprised,Chcę przeczytać ten artykuł jeszcze raz.
1538,18,KD0,surprised,Kwiecień to czwarty miesiąc w roku.
1539,19,KD0,surprised,W wolnym czasie lubię czytać książki.
1540,2,KD0,surprised,Nie waźmy się ze sobą.
1541,20,KD0,surprised,Zima to czas jeżdżenia na sankach.
1542,21,KD0,surprised,Egipcjanie uważali Ibisy za święte.
1543,22,KD0,surprised,"Piesek wszedł do rzeki, żeby popływać."
1544,23,KD0,surprised,Woda w basenie jest bardzo ciepła.
1545,24,KD0,surprised,Miasto tętni życiem nawet w nocy.
1546,25,KD0,surprised,Gorzka czekolada jest idealna na deser.
1547,26,KD0,surprised,Ten dżin potrafi spełniać życzenia.
1548,27,KD0,surprised,W niedzielę szkoła jest zamknięta.
1549,28,KD0,surprised,Podczas medytacji można wejść w trance.
1550,29,KD0,surprised,W październiku zaczyna się jesień.
1551,3,KD0,surprised,Chodźmy w tango.
1552,30,KD0,surprised,Każdy taniec ma swój własny rytm.
1553,31,KD0,surprised,Dokarmcie koty wychodząc z domu.
1554,32,KD0,surprised,"Pamiętaj, że nadzieja umiera ostatnia."
1555,33,KD0,surprised,Po operacji nie mam żadnych blizn.
1556,34,KD0,surprised,Pan Janek jest naszym nowym sąsiadem!
1557,35,KD0,surprised,"Aby upiec ciasto, muszę kupić mączkę."
1558,36,KD0,surprised,Ten pomysł trąci brakiem realizmu.
1559,37,KD0,surprised,Relaksujące piosenki poprawiają nastrój.
1560,38,KD0,surprised,Ród Smoka to serial telewizyjny.
1561,39,KD0,surprised,Siwa oznacza żałobę po zmarłym.
1562,4,KD0,surprised,Dzieci muszą dużo jeść.
1563,40,KD0,surprised,W dzieciństwie uwielbiałem klechty.
1564,41,KD0,surprised,W parku rośnie ogromne drzewo.
1565,42,KD0,surprised,"Przyjaciel to ktoś, kto zawsze jest po mojej stronie."
1566,43,KD0,surprised,Niania odegrała w moim życiu ważną rolę.
1567,44,KD0,surprised,"Ten sknota to uczucie, które każdy z nas zna."
1568,45,KD0,surprised,Postanowiłem wynająć samochód na wakacje.
1569,46,KD0,surprised,Żółwica - to dawne określenie na siostrę męża.
1570,47,KD0,surprised,Król był bardzo sprawiedliwym człowiekiem.
1571,48,KD0,surprised,Moja dziewczyna świętuje urodziny w sobotę.
1572,49,KD0,surprised,"Niektórzy powiedzą, że to państwo z kartonu."
1573,5,KD0,surprised,Przestań go jezić!
1574,50,KD0,surprised,W muzeum można zobaczyć szkielet dinozaura.
1575,51,KD0,surprised,Strzelec to znak Zodiaku następujący po skorpionie.
1576,52,KD0,surprised,Na złamaną kończynę często zakłada się gips.
1577,53,KD0,surprised,"Kittel to strój, który noszą lekarze."
1578,54,KD0,surprised,W grudniu często pada śnieg.
1579,55,KD0,surprised,Chodzę do szkoły prawie codziennie.
1580,56,KD0,surprised,Moje dziecko umie już mówić kilka słów.
1581,57,KD0,surprised,"Jedz inaczej, aby polepszyć swoje zdrowie."
1582,58,KD0,surprised,Otrzymałem piękną pocztówkę z widokiem na góry.
1583,59,KD0,surprised,Kupiłem nowy słownik języka hiszpańskiego.
1584,6,KD0,surprised,"Dziunia, nie jesteś moim szefem!"
1585,60,KD0,surprised,Podczas wakacji udało mi się zobaczyć delfiny.
1586,61,KD0,surprised,Zupa pomidorowa - to moje ulubione danie.
1587,62,KD0,surprised,Twoje słowo ma dla mnie wielkie znaczenie.
1588,63,KD0,surprised,Moja wizja na przyszłość jest jasna i wyraźna
1589,64,KD0,surprised,Ucho wykrywać dźwięki o różnej częstotliwości.
1590,65,KD0,surprised,Podczas remontu odkryliśmy staro-dawny mur.
1591,66,KD0,surprised,Rtęć jest jednym z pierwiastków chemicznych.
1592,67,KD0,surprised,Miłość jest jednym z najpiękniejszych uczuć.
